xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.885,0.114,5,18108,2983.3745,1
1.321,0.018,22,3009,1732.7852,1
1.666,0.088,110,1392,2612.8454,1
2.015,0.176,16,1692,2647.8944,1
1.848,0.011,119,16112,3088.4927,1
1.334,0.085,2,940,2394.6382,1
1.476,0.03,16,840,2229.4753,1
1.352,0.058,25,1788,2302.3538,1
2.034,0.05,5,18116,3046.172,1
1.098,0.009,8,932,1793.9114,1
1.446,0.179,1,1238,2161.5351,1
1.265,0.063,134,738,2108.3396,1
0.922,0.031,285,940,1309.464,1
0.873,0.039,94,1407,859.9353,1
1.141,0.053,5,1209,838.0208,1
1.056,0.003,56,734,2150.429,1
1.071,0.008,179,536,2275.4422,1
1.325,0.073,1,3010,1782.8358,1
0.554,0.036,10,403,377.4565,1
1.281,0.001,77,15108,3207.3927,1
0.77,0.114,7,804,467.4362,1
1.151,0.05,26,1148,1501.7706,1
1.151,0.162,3,1444,1315.7056,1
0.777,0.036,1,1407,818.9256,1
1.106,0.056,2,1208,838.0208,1
1.32,0.221,19,1444,1325.352,1
0.777,0.035,9,1005,820.9537,1
0.956,0.023,43,1407,921.1913,1
1.334,0.123,66,1456,1750.8158,1
0.573,0.005,137,1205,821.8982,1
0.878,0.075,3,806,635.7363,1
0.984,0.069,36,1807,1042.3305,1
1.188,0.101,2,1210,772.8571,1
0.834,0.167,9,1006,718.895,1
1.016,0.051,10,2810,907.8926,1
1.384,0.032,8,1556,1738.922,1
1.784,0.018,137,1664,1986.1229,1
1.492,0.145,1,2612,1460.6476,1
1.149,0.031,51,1407,974.0844,1
1.038,0.118,47,2207,1320.333,1
1.218,0.087,54,2007,1306.5248,1
1.982,0.169,1,2156,1813.1735,1
1.196,0.048,1,2011,1387.3956,1
0.92,0.011,263,2006,1254.2732,1
5.94,0.387,1,3392,2906.107,1
1.468,0.173,19,838,2403.7272,1
2.398,0.357,1,2252,1684.9994,1
1.64,0.136,2,2610,1558.8226,1
2.103,0.14,1,2188,2777.9329,1
0.961,0.027,72,1806,1238.4132,1
1.249,0.068,1,2411,1434.4827,1
1.978,0.086,172,1388,2726.8666,1
2.704,0.395,1,2256,1921.1537,1
4.19,0.612,1,1728,1921.1537,1
3.381,0.563,1,1728,1921.1537,1
1.235,0.017,25,834,1902.1754,1
1.635,0.167,1,1848,1552.8004,1
1.597,0.079,8,934,1928.2567,1
1.092,0.05,36,2807,1913.173,1
1.489,0.236,4,2407,1565.7968,1
1.226,0.074,392,534,1902.1754,1
