xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.338,0.083,2,836,1940.9988,1
1.959,0.017,50,17124,3078.2994,1
1.678,0.047,36,17116,3225.6598,1
1.721,0.134,1,1338,1991.9917,1
1.25,0.05,9,2809,1807.0806,1
1.534,0.042,16,1888,2405.7955,1
1.586,0.164,30,840,2196.2695,1
1.502,0.201,68,738,2029.2377,1
0.872,0.019,74,2806,1668.8744,1
1.532,0.032,2,22120,3194.5462,1
1.391,0.08,13,936,1961.0812,1
1.914,0.006,102,15108,3228.475,1
1.977,0.02,108,15108,3004.3067,1
1.355,0.115,2,938,2123.3518,1
1.659,0.072,26,842,2315.7048,1
1.655,0.142,7,1896,2572.818,1
1.534,0.151,144,740,2047.256,1
1.051,0.034,5,3008,1803.9903,1
1.233,0.149,43,832,1781.0891,1
1.181,0.021,26,2807,1685.9474,1
1.125,0.081,98,746,2547.9561,1
1.248,0.03,3,936,1850.1087,1
1.372,0.053,14,1784,2154.316,1
1.23,0.006,94,3006,1697.8259,1
1.923,0.114,64,17116,3263.7208,1
1.361,0.069,3,1992,2533.871,1
1.23,0.019,6,938,1982.2402,1
1.067,0.07,12,844,2306.521,1
1.865,0.146,47,1796,2661.1007,1
2.729,0.351,1,20128,3525.1278,1
1.19,0.235,26,1548,1344.358,1
1.218,0.016,417,636,1907.0742,1
1.3,0.025,2,940,2214.3924,1
1.786,0.075,6,20120,3322.484,1
1.973,0.101,4,21128,3605.7626,1
2.219,0.195,1,21104,2782.1217,1
1.88,0.152,3,21104,2868.1662,1
1.793,0.014,26,18116,2952.3207,1
1.651,0.049,12,20128,3273.385,1
1.375,0.115,1,1138,2277.5761,1
2.001,0.164,7,18104,2774.0428,1
1.222,0.066,117,640,2122.1383,1
1.112,0.043,9,936,2132.4148,1
1.353,0.153,32,834,1807.9477,1
2.194,0.084,2,21104,2868.1662,1
0.883,0.091,206,648,1545.7124,1
1.256,0.04,40,1696,2568.8609,1
2.502,0.321,42,20128,3291.6256,1
2.288,0.309,1,23116,3277.7386,1
1.519,0.015,146,1592,2589.9506,1
1.165,0.071,1,1244,2465.7056,1
1.636,0.089,8,18100,2700.927,1
1.257,0.029,82,732,1713.8596,1
1.283,0.063,26,1880,2155.22,1
1.272,0.062,47,836,1849.1643,1
1.868,0.266,36,17120,3350.799,1
1.051,0.024,35,836,2117.4373,1
2.146,0.133,3,20116,3040.3839,1
1.221,0.023,208,740,2059.3163,1
1.368,0.094,57,742,2094.1363,1
1.497,0.058,100,736,1860.1335,1
1.846,0.115,4,20112,3128.6379,1
1.445,0.217,289,3005,1793.1435,1
0.942,0.065,15,944,2390.4107,1
1.112,0.024,177,738,2000.1534,1
1.206,0.088,6,934,1829.038,1
1.527,0.106,263,3006,1611.6831,1
1.004,0.01,4,2210,1386.5371,1
